name,city,county,state,zip,latitude,longitude,total_units,programs_and_designations,Sec8HCV,RuralSec515,Senior,LIHTC,PublicHsg,HOMEipp,Disabilities
1301 E 33rd Ave,Denver,Denver County,Colorado,80205,39.76347,-104.97177,15,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1601 Colorado,Denver,Denver County,Colorado,80220,39.74194,-104.94074,112," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
17th Street Redevelopment,Denver,Denver County,Colorado,80218,39.74323,-104.96466,36," Section 8 Project-Based Rental Assistance, HOME Investment Partnerships Program, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4th and Fox - Section 8,Denver,Denver County,Colorado,80223,39.72224,-104.99603,13," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4th and Fox Apartments,Denver,Denver County,Colorado,80223,39.72223,-104.99544,13," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A.T. Lewis Building,Denver,Denver County,Colorado,0,39.745211,-104.993793,51," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Allen Gardens,Denver,Denver County,Colorado,80205,39.75999,-104.94206,50," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Arapahoe Green,Denver,Denver County,Colorado,80247,39.69558,-104.88645,60," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Arapahoe Green,Denver,Denver County,Colorado,80231,39.67085,-104.82077,60,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Archdiocesan Housing I,Denver,Denver County,Colorado,80205,39.76836,-104.96972,98," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Argonaut Apartments,Denver,Denver County,Colorado,80203,39.74011,-104.98367,109," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Argyle Park Square,Denver,Denver County,Colorado,80212,39.77052,-105.04089,50," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Argyle Park Square,Denver,Denver County,Colorado,80212,39.77005,-105.04116,62," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Aromor Apartments,Denver,Denver County,Colorado,80203,39.73698,-104.9837,66," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Ash Apartments,Denver,Denver County,Colorado,80223,39.7146,-104.98987,53," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Austin Building,Denver,Denver County,Colorado,80206,39.74004,-104.95862,18," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Avery Apartments,Denver,Denver County,Colorado,80205,39.755,-104.98282,23," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Bainbridge Apartments,Denver,Denver County,Colorado,80218,39.74432,-104.9688,16," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Barney Ford Heights,Denver,Denver County,Colorado,80205,39.74798,-104.97663,147,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Beldame Apartments,Denver,Denver County,Colorado,80203,39.74636,-104.98197,28," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Belmont Vista Homes,Denver,Denver County,Colorado,80219,39.70335,-105.0455,48," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Benedict Park Place 1b,Denver,Denver County,Colorado,80205,39.74932,-104.97924,124," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Blake Street Apartments,Denver,Denver County,Colorado,80205,39.76,-104.98643,94," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Blue Spruce Townhomes,Denver,Denver County,Colorado,80230,39.72798,-104.90399,92," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Bluff Lake Apartments Homes,Denver,Denver County,Colorado,80238,39.72883,-104.88848,92," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Boston Lofts,Denver,Denver County,Colorado,80202,39.74688,-104.99215,158," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Broadway Junction,Denver,Denver County,Colorado,80210,NULL,NULL,60," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Broadway Plaza Lofts,Denver,Denver County,Colorado,80205,39.67415,-104.98718,223," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Brunetti Lofts,Denver,Denver County,Colorado,80205,39.75862,-104.98577,23," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
California Park East,Denver,Denver County,Colorado,80205,39.75596,-104.97776,70," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Carolton Arms,Denver,Denver County,Colorado,80205,39.75127,-104.97662,21," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Casa De Rosal,Denver,Denver County,Colorado,80204,39.7288349,-105.046912,55," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Casa Loma,Denver,Denver County,Colorado,80211,39.76993,-105.01748,82," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cathedral Plaza,Denver,Denver County,Colorado,80203,NULL,NULL,154,Accepts Section 8 Housing Choice Vouchers (HCV),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Catholic Charities and Com Svcs of Arch Dn,Denver,Denver County,Colorado,80236,39.65976,-105.02992,5,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Cecil Apartments,Denver,Denver County,Colorado,80218,39.73906,-104.97177,16," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Central Park at Stapleton,Denver,Denver County,Colorado,80238,39.75248,-104.88979,18," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Chaffee Park Senior Residences,Denver,Denver County,Colorado,80211,39.77973,-105.01064,62," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Chesney - Kleinjohn,Denver,Denver County,Colorado,80203,39.73226,-104.97899,17," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Christian Living Communities,Denver,Denver County,Colorado,80222,39.67168,-104.93513,124," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Churchhill Downs at Hunters Rn,Denver,Denver County,Colorado,80231,39.66908,-104.88966,168," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
City Park Manor,Denver,Denver County,Colorado,80205,39.7559,-104.94521,13," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
City Park Residences,Denver,Denver County,Colorado,80206,39.74549,-104.96066,42," Section 42 Low-Income Housing Tax Credit (LIHTC), HOME Investment Partnerships Program, Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Clare Gardens Apartments,Denver,Denver County,Colorado,80212,39.75716,-105.03804,128," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Clay Street Residences,Denver,Denver County,Colorado,80211,39.75693,-105.02096,55," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Clocktower Lofts,Denver,Denver County,Colorado,80205,39.75881,-104.9872,37," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Clyburn Village,Denver,Denver County,Colorado,80205,39.76278,-104.973,50," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Clyburn Village at Stapleton,Denver,Denver County,Colorado,80238,39.75526,-104.9024,100," Section 42 Low-Income Housing Tax Credit (LIHTC), HOME Investment Partnerships Program, Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Colburn Hotel,Denver,Denver County,Colorado,80203,39.73165,-104.98318,88," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Columbine Homes,Denver,Denver County,Colorado,80223,39.71253,-105.01452,200,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Commonworks Housing Project,Denver,Denver County,Colorado,80219,39.67347,-105.04247,6," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Commonworks Housing Project IIi,Denver,Denver County,Colorado,80212,39.7517,-105.03963,6," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Community Options of Denver,Denver,Denver County,Colorado,80236,39.63674,-105.04092,3," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Congress Park,Denver,Denver County,Colorado,80206,39.73856,-104.95906,32," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance, Persons With Disabilities, Senior (62+), Section 42 Low-Income Housing Tax Credit (LIHTC)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Connole Apartments,Denver,Denver County,Colorado,80218,39.74363,-104.96564,100,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Cornerstone Residences,Denver,Denver County,Colorado,80205,39.75379,-104.98631,51," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Corona Residence,Denver,Denver County,Colorado,80218,39.73891,-104.97445,56," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Courthouse Square Apartments,Denver,Denver County,Colorado,80204,39.73894,-104.99892,157," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance, Persons With Disabilities, Senior (62+)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Courtyard Commons,Denver,Denver County,Colorado,80203,NULL,NULL,34," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Curtis Park Flats,Denver,Denver County,Colorado,80205,39.7611,-104.9772,9," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Curtis Park Redevelopment,Denver,Denver County,Colorado,80205,39.76783,-104.97633,250,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dahlia Square Senior Apartments,Denver,Denver County,Colorado,80207,39.76488,-104.92946,88," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Dan Raphael,Denver,Denver County,Colorado,80205,39.74847,-104.9749,9," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Daves Place,Denver,Denver County,Colorado,80206,39.7374,-104.95892,14," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Decatur House,Denver,Denver County,Colorado,80219,39.6818,-105.02305,10," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Decatur Place,Denver,Denver County,Colorado,80204,39.73516,-105.02259,107," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Del Norte - Grant St,Denver,Denver County,Colorado,80209,39.70552,-104.98366,7,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Denver Family Housing,Denver,Denver County,Colorado,80205,NULL,NULL,98,Accepts Section 8 Housing Choice Vouchers (HCV),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Denver Gardens Apartments,Denver,Denver County,Colorado,80224,39.69695,-104.91016,100," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance, Senior (62+)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Denver Metro Village,Denver,Denver County,Colorado,80204,39.74079,-105.04106,192," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Denver Northeast,Denver,Denver County,Colorado,80205,39.74539,-104.98265,121," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Denver Northeast Apartments,Denver,Denver County,Colorado,80205,39.76602,-104.96481,17," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Denver Rescue Mission,Denver,Denver County,Colorado,80216,39.77304,-104.91843,140,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Denver Silvercrest,Denver,Denver County,Colorado,80219,39.71202,-105.04648,64," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Denver Volunteers of America Living Center,Denver,Denver County,Colorado,80231,39.65422,-104.87338,15," Section 811 Supportive Housing for Persons with Disabilities, Project-Based Rental Assistance, Accessible Units, Persons With Disabilities",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Deville Apartments,Denver,Denver County,Colorado,80205,39.76412,-104.97123,11," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Dha Scattered Sites,Denver,Denver County,Colorado,80206,39.73697,-104.9525,418," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Diamond at Prospect,Denver,Denver County,Colorado,80202,39.76016,-104.99597,140," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Dispersed East,Denver,Denver County,Colorado,80207,39.75018,-104.90946,340,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Dispersed Housing, Nc",Denver,Denver County,Colorado,80204,39.73969,-105.00814,52," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dispersed West,Denver,Denver County,Colorado,80211,39.76213,-105.00929,323,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Drehmoor Apartments,Denver,Denver County,Colorado,80203,39.74643,-104.98448,75," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eldercare 2000,Denver,Denver County,Colorado,80205,39.76316,-104.97308,49,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Eliot Street,Denver,Denver County,Colorado,80219,39.69417,-105.02362,100," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Emerson Gardens,Denver,Denver County,Colorado,80218,39.73133,-104.9761,30," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Forum Apartments,Denver,Denver County,Colorado,80204,39.73835,-104.99096,101," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fourth Quarter,Denver,Denver County,Colorado,80205,39.7615,-104.97325,36," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Fox Crossing, Phase I",Denver,Denver County,Colorado,80231,39.66816,-104.88862,112," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Francis Heights,Denver,Denver County,Colorado,80212,39.75518,-105.03805,383," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Franconia Apartments,Denver,Denver County,Colorado,80218,39.73101,-104.97264,54," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gao Homes,Denver,Denver County,Colorado,80204,39.73923,-105.03121,44," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Globeville Townhomes I,Denver,Denver County,Colorado,80216,39.7893,-104.98314,41," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Globeville Townhomes II,Denver,Denver County,Colorado,80216,39.79031,-104.98463,21," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Golden Home, Corp Casa Dorada, Llc",Denver,Denver County,Colorado,80204,39.73059,-105.04661,72," Section 42 Low-Income Housing Tax Credit (LIHTC), HOME Investment Partnerships Program, Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Golden Spike Apartments,Denver,Denver County,Colorado,80219,39.66762,-105.02511,200," Rental Assistance Payments (RAP), Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Golden Spike Apartments,Denver,Denver County,Colorado,80219,NULL,NULL,200," Persons With Disabilities, Senior (62+), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Goldsmith Village Syracuse Plaza,Denver,Denver County,Colorado,80237,39.63766,-104.90001,134," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grace Apartments,Denver,Denver County,Colorado,80220,39.737011,-104.884991,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grand Lowry Lofts,Denver,Denver County,Colorado,80230,39.722053,-104.899192,261," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Guadalupe Senior Housing,Denver,Denver County,Colorado,80211,39.76203,-105.0081,36," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"H0hom99045 Hgv Senior, Gp",Denver,Denver County,Colorado,80202,39.74653,-104.99409,63,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
H3hom03010 Burgwyn and Perry Enterprises,Denver,Denver County,Colorado,80205,39.75914,-104.96918,6,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
H5hom04049 Senior Housing Options Barth,Denver,Denver County,Colorado,80202,39.75152,-104.99837,62,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Halcyon House Apartments,Denver,Denver County,Colorado,80202,39.75153,-104.99147,197," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Hazel Court Apartments,Denver,Denver County,Colorado,80219,39.71039,-105.02845,17," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Hidden Brook Apartments,Denver,Denver County,Colorado,80220,39.73772,-104.88614,130," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Higgins Plaza,Denver,Denver County,Colorado,80206,NULL,NULL,90,Accepts Section 8 Housing Choice Vouchers (HCV),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Highland Crossing,Denver,Denver County,Colorado,80231,39.67693,-104.88996,108," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Highland Square,Denver,Denver County,Colorado,80231,39.67929,-104.88879,76," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Highlands Garden Village Apartments,Denver,Denver County,Colorado,80212,39.76816,-105.0441,63," Section 42 Low-Income Housing Tax Credit (LIHTC), HOME Investment Partnerships Program, Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Highlands Garden Village, Llc",Denver,Denver County,Colorado,80212,39.76712,-105.0468,74,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Hilltop Apartments,Denver,Denver County,Colorado,80203,39.74105,-104.98197,77," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Hilltop Apartments,Denver,Denver County,Colorado,80205,NULL,NULL,77," Section 42 Low-Income Housing Tax Credit (LIHTC), Section 8 Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Hirschfeld Towers,Denver,Denver County,Colorado,80223,39.71669,-104.99246,209," Section 42 Low-Income Housing Tax Credit (LIHTC), Public Housing, Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Holly Apartments,Denver,Denver County,Colorado,80265,NULL,NULL,94,Section 8 Project-Based Rental Assistance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Holy Family Plaza,Denver,Denver County,Colorado,80212,NULL,NULL,79," Accepts Section 8 Housing Choice Vouchers (HCV), Persons With Disabilities, Senior (62+)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Hope Comm. Inc - the Point,Denver,Denver County,Colorado,80205,39.75285,-104.97782,35,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Inner City Community Development,Denver,Denver County,Colorado,80205,39.75338,-104.98534,17,HOME Investment Partnerships Program,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
James Quigg Newton,Denver,Denver County,Colorado,80211,39.78007,-105.00206,380,Public Housing,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
